num_agents,repeticion,seed,tiempo_pasos,porcentaje_limpio,movimientos_totales
1,1,1000,990,100.0,960
1,2,1001,601,100.0,571
1,3,1002,1000,98.0,972
1,4,1003,1000,99.0,971
1,5,1004,1000,99.0,971
1,6,1005,464,100.0,434
1,7,1006,841,100.0,811
1,8,1007,620,100.0,590
1,9,1008,753,100.0,723
1,10,1009,450,100.0,420
2,1,2000,412,100.0,788
2,2,2001,336,100.0,636
2,3,2002,286,100.0,525
2,4,2003,451,100.0,865
2,5,2004,233,100.0,435
2,6,2005,547,100.0,1046
2,7,2006,279,100.0,528
2,8,2007,588,100.0,1136
2,9,2008,472,100.0,905
2,10,2009,272,100.0,508
3,1,3000,348,100.0,984
3,2,3001,362,100.0,1034
3,3,3002,391,100.0,1097
3,4,3003,394,100.0,1120
3,5,3004,209,100.0,576
3,6,3005,462,100.0,1331
3,7,3006,366,100.0,1041
3,8,3007,204,100.0,569
3,9,3008,361,100.0,1034
3,10,3009,292,100.0,815
4,1,4000,134,100.0,484
4,2,4001,349,100.0,1316
4,3,4002,125,100.0,453
4,4,4003,212,100.0,782
4,5,4004,238,100.0,864
4,6,4005,307,100.0,1155
4,7,4006,171,100.0,633
4,8,4007,196,100.0,722
4,9,4008,225,100.0,832
4,10,4009,167,100.0,611
5,1,5000,167,100.0,729
5,2,5001,145,100.0,644
5,3,5002,408,100.0,1905
5,4,5003,191,100.0,885
5,5,5004,231,100.0,1038
5,6,5005,119,100.0,536
5,7,5006,347,100.0,1629
5,8,5007,161,100.0,705
5,9,5008,121,100.0,549
5,10,5009,448,100.0,2052
